mask,pair,retries,dist,relGap,sideGap,len1,len2,rt1,rt2,msSample,msSnap,msRoute,msRefine,msTotal
mask_20250602_081036,0,0,748,0.051,157.2,865.2,979,28293,26924,0.42,13.69,13.55,18.16,274.39
mask_20250602_081036,1,3,830,0.140,325.5,1165.7,1304.7,29341,33449,0.68,1.35,17.91,37.15,714.03
mask_20250602_081036,2,5,581,0.053,44.8,814.7,702.6,21429,22573,0.53,1.12,11.18,2.9,125.11
mask_20250602_081036,3,12,1179,0.168,271.1,1440.1,1439.3,42788,36647,0.33,4.66,19.41,27.11,875.53
mask_20250602_081036,4,0,892,0.106,350.7,1435.3,1308,36629,40506,0.03,0.6,3.57,9.42,249.4
mask_20250602_081036,5,4,828,0.055,293.6,1189.4,1235.3,30820,32508,0.11,2.33,8.53,21.92,456.95
mask_20250602_081036,6,4,507,0.230,252.4,666.4,870.7,19781,24336,0.12,0.19,4.91,7.82,173.03
mask_20250602_081036,7,1,529,0.102,155.5,628.3,741,20409,18525,0.06,0.17,4.58,10.33,141.84
mask_20250602_081036,8,2,654,0.154,210.5,1225.5,1231.9,31943,36856,0.09,0.23,6.03,10.04,451.82
mask_20250602_081036,9,1,797,0.090,143.8,1050.9,928.7,27517,25234,0.03,0.06,2.31,14.41,243.27
mask_20250602_081036,10,0,798,0.086,194.4,1184.2,878.5,30134,27758,0.05,0.07,2.63,4.68,218.31
mask_20250602_081036,11,0,631,0.180,463.3,1233.5,1463.8,32314,38115,0.04,0.17,4.74,14.46,262.8
mask_20250602_081036,12,0,591,0.069,117.6,896.6,910.8,23498,25111,0.01,7.84,1.76,16.2,163.81
mask_20250602_081036,13,0,679,0.061,203.2,914.7,983.9,24182,25654,0.03,0.12,2.9,11.77,155.29
mask_20250602_081036,14,3,608,0.010,349.3,1204,949.6,30239,30548,0.11,0.55,6.72,5.44,223.43